SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
24.7,7,228037,23,21,ack,55,8,7104,16090,884950,Router,Switch1,22.693388,22.693388,22.703392,0,328.167767,18049.2,55,0.00844,0,22.683385,22.713395,1.030051,50.059851,Normal
4,24.4,206963,23,24,tcp,1540,5,6461,16091,24780100,Router,server1,20.718782,20.718782,20.728906,0,328.217832,505455,1540,0.236321,0,20.698536,20.728906,1,50.025368,Normal
19.1,24.39,626429,22,23,cbr,1000,40,5497,6250,6250000,Switch2,Router,68.98608,68.9868,68.99688,0.00072,124.940628,124941,1000,0.059605,0.00152,68.976,69.00776,25,75.02376,Normal
1,24.1,558719,21,23,tcp,1540,2,15591,16091,24780100,Switch1,Router,48.493851,48.493851,48.503975,0,328.297855,505578,1540,0.236321,0,48.483728,48.514098,1,50.013418,Normal
6,24.6,32602,6,21,tcp,1540,7,1017,16091,24780100,clien-6,Switch1,4.279459,4.279459,4.289582,0,328.192835,505416,1540,0.236321,0,4.279459,4.309829,1,50.029102,Normal
24.2,2,317000,21,2,ack,55,3,9500,16091,885005,Switch1,clien-2,29.961293,29.961293,29.971297,0,328.26412,18054.5,55,0.00844,0,29.941287,29.971297,1.030022,50.048477,Normal
24.8,8,461797,21,8,ack,55,9,13133,16088,884840,Switch1,clien-8,41.069546,41.069546,41.07955,0,328.113525,18046.2,55,0.008438,0,41.04954,41.07955,1.030054,50.061864,Normal
0,24,18309,21,23,tcp,1540,1,581,16091,24780100,Switch1,Router,2.94437,2.94437,2.954494,0,328.316229,505606,1540,0.236321,0,2.934247,2.964617,1,50.010675,Normal
24.2,2,543284,24,23,ack,55,3,15194,16091,885005,server1,Router,47.301007,47.301007,47.31101,0,328.26412,18054.5,55,0.00844,0,47.301007,47.331016,1.030022,50.048477,Normal
7,24.7,10719,7,21,tcp,50874,0,-1,210,10683540,client-7,switch1,11,11,11.015243,0,23.055028,1172901.515,50874,0.101886,0.108642,11,11.108642,0,9.108642,HTTP-FLOOD
24.5,5,367959,24,23,ack,55,6,10782,16091,885005,server1,Router,33.853106,33.853106,33.86311,0,328.204851,18051.3,55,0.00844,0,33.853106,33.883116,1.030042,50.057349,Normal
8,24.8,446681,21,23,tcp,1540,9,12769,16088,24775500,Switch1,Router,39.899478,39.899909,39.910032,0.000431,328.11323,505294,1540,0.236278,0.001601,39.889355,39.921325,1,50.031854,Normal
3,24.3,326982,23,24,tcp,1540,4,9755,16091,24780100,Router,server1,30.727263,30.727263,30.737386,0,328.240918,505490,1540,0.236321,0,30.707017,30.737386,1,50.02192,Normal
2.2,24.44,23144,2,21,cbr,1500,23,840,8655,12982500,client-2,switch1,22.576,22.576,22.58612,0,962.684973,1444030,1500,0.123811,0.03036,22.576,22.60636,1,9.99048,UDP-Flood
15,24.15,273899,22,23,tcp,1540,16,8413,16092,24781700,Switch2,Router,26.645355,26.645355,26.655478,0,328.205808,505437,1540,0.236337,0.0016,26.635232,26.667202,1,50.030211,UDP-Flood
7,24.7,184726,23,24,tcp,1540,8,5763,16090,24778600,Router,server1,18.627363,18.627363,18.637486,0,328.167486,505378,1540,0.236307,0,18.607116,18.637486,1,50.029842,Normal
24.9,9,382468,21,9,ack,55,10,11131,16085,884675,Switch1,clien-9,34.984893,34.984893,34.994897,0,328.064183,18043.5,55,0.008437,0,34.964887,34.994897,1.030058,50.060098,Normal
6,24.6,375563,21,23,tcp,1540,7,10979,16091,24780100,Switch1,Router,34.446077,34.446077,34.4562,0,328.192835,505416,1540,0.236321,0.000246,34.435954,34.46657,1,50.029102,Normal
12.1,24.32,623960,22,23,cbr,1000,33,5375,6250,6250000,Switch2,Router,68.01008,68.01024,68.02032,0.00016,124.943426,124943,1000,0.059605,0.0004,68,68.03064,25,75.02264,Normal
24.11,11,141718,24,23,ack,55,12,4411,16103,885665,server1,Router,14.5584,14.5584,14.568403,0,328.522947,18068.8,55,0.008446,0,14.5584,14.58841,1.030019,50.046382,Normal
24.1,10,195773,24,23,ack,55,11,6107,16103,885665,server1,Router,19.647254,19.647254,19.657258,0,328.561918,18070.9,55,0.008446,0,19.647254,19.677264,1.030013,50.040562,Normal
12,24.12,292798,23,24,tcp,1540,13,8900,16103,24798600,Router,server1,28.107002,28.107002,28.117125,0,328.491489,505876,1540,0.236498,0,28.086755,28.117125,1,50.021057,Normal
24.15,15,295747,23,22,ack,55,16,8954,16092,885060,Router,Switch2,28.322058,28.322058,28.332061,0,328.206042,18051.3,55,0.008441,0,28.312054,28.342064,1.030045,50.060221,Normal
24.2,2,135366,21,2,ack,55,3,4218,16091,885005,Switch1,clien-2,13.979419,13.979419,13.989422,0,328.26412,18054.5,55,0.00844,0,13.959413,13.989422,1.030022,50.048477,Normal
4.1,24.24,572224,4,21,cbr,1000,25,3065,6250,6250000,clien-4,Switch1,49.52,49.52,49.53008,0,124.942826,124943,1000,0.059605,0.000614,49.52,49.550854,25,75.02288,Normal
24.2,2,240556,21,2,ack,55,3,7495,16091,885005,Switch1,clien-2,23.880869,23.880869,23.890872,0,328.26412,18054.5,55,0.00844,0,23.860862,23.890872,1.030022,50.048477,Normal
24.3,3,42481,23,21,ack,55,4,1316,16091,885005,Router,Switch1,5.216896,5.216896,5.226899,0,328.241051,18053.3,55,0.00844,0,5.206893,5.236902,1.030029,50.051929,Normal
8,24.8,190557,23,24,tcp,1540,9,5949,16088,24775500,Router,server1,19.173856,19.173856,19.183979,0,328.11323,505294,1540,0.236278,0,19.153609,19.183979,1,50.031854,Normal
4.2,24.46,26338,4,21,cbr,192,25,1114,10050,1929600,client-4,switch1,25.546857,25.547337,25.557353,0.00048,1118.27935,214710,192,0.018402,0.030736,25.546857,25.577593,1,9.987021,UDP-Flood
24.14,14,220115,24,23,ack,55,15,6860,16103,885665,server1,Router,21.936366,21.936366,21.94637,0,328.432001,18063.8,55,0.008446,0,21.936366,21.966376,1.030038,50.059974,Normal
24.7,7,257739,24,23,ack,55,8,7992,16090,884950,server1,Router,25.394722,25.394722,25.404725,0,328.167767,18049.2,55,0.00844,0,25.394722,25.424731,1.030051,50.059851,Normal
7.1,24.27,585844,7,21,cbr,1000,28,3482,6250,6250000,clien-7,Switch1,52.856,52.856,52.86608,0,124.941627,124942,1000,0.059605,0.00112,52.856,52.88736,25,75.02336,Normal
4,24.4,35776,23,24,tcp,1540,5,1120,16091,24780100,Router,server1,4.596797,4.596797,4.60692,0,328.217832,505455,1540,0.236321,0,4.57655,4.60692,1,50.025368,Normal
24.12,12,471581,23,22,ack,55,13,13395,16103,885665,Router,Switch2,41.810165,41.810165,41.820168,0,328.491596,18067,55,0.008446,0,41.800162,41.830171,1.030026,50.051067,Normal
3,24.3,214184,3,21,tcp,1540,4,6684,16091,24780100,clien-3,Switch1,21.38074,21.38074,21.390864,0,328.240918,505490,1540,0.236321,0,21.38074,21.41111,1,50.02192,Normal
24,0,224069,23,21,ack,55,1,6985,16091,885005,Router,Switch1,22.322854,22.322854,22.332857,0,328.316229,18057.4,55,0.00844,0,22.312851,22.34286,1.03001,50.040685,Normal
13.1,24.33,590976,23,24,cbr,1000,34,3737,6250,6250000,Router,server1,54.9164,54.91672,54.9268,0.00032,124.943026,124943,1000,0.059605,0.00056,54.896,54.9268,25,75.0228,Normal
1.1,24.21,622980,23,24,cbr,1000,22,5327,6250,6250000,Router,server1,67.63624,67.63632,67.6464,0.00008,124.944025,124944,1000,0.059605,0.00016,67.616,67.6464,25,75.0224,Normal
10,24.1,130669,22,23,tcp,1540,11,4086,16103,24798600,Switch2,Router,13.528172,13.528172,13.538295,0,328.561898,505985,1540,0.236498,0,13.518049,13.548418,1,50.010552,Normal
12,24.12,334378,12,22,tcp,1540,13,9948,16103,24798600,clien-12,Switch2,31.274812,31.274812,31.284935,0,328.491489,505876,1540,0.236498,0.000007,31.274812,31.305188,1,50.021057,Normal
4.2,24.46,76142,23,24,cbr,1500,25,3223,10050,15075000,router,server1,72.2286,72.2286,72.23872,0,1118.27935,1677420,1500,0.143766,0.03072,72.208,72.23872,1,9.987021,UDP-Flood
24.6,6,510910,23,21,ack,55,7,14371,16091,885005,Router,Switch1,44.826611,44.826611,44.836614,0,328.19309,18050.6,55,0.00844,0,44.816608,44.846618,1.030048,50.059112,Normal
24.7,7,22047,24,23,ack,55,8,676,16090,884950,server1,Router,3.285723,3.285723,3.295726,0,328.167767,18049.2,55,0.00844,0,3.285723,3.315733,1.030051,50.059851,Normal
24.9,9,409761,24,23,ack,55,10,11826,16085,884675,server1,Router,37.057894,37.057894,37.067897,0,328.064183,18043.5,55,0.008437,0,37.057894,37.087903,1.030058,50.060098,Normal
1,24.1,307043,21,23,tcp,1540,2,9258,16091,24780100,Switch1,Router,29.188389,29.188389,29.198512,0,328.297855,505578,1540,0.236321,0.000326,29.178266,29.208962,1,50.013418,Normal
14,24.14,12029,14,22,tcp,1540,15,373,16103,24798600,clien-14,Switch2,2.340795,2.340795,2.350918,0,328.431807,505785,1540,0.236498,0,2.340795,2.371165,1,50.029965,Normal
4,24.4,183843,4,21,tcp,1540,5,5731,16091,24780100,clien-4,Switch1,18.522298,18.522298,18.532421,0,328.217832,505455,1540,0.236321,0,18.522298,18.552667,1,50.025368,Normal
12,24.12,492576,12,22,tcp,1540,13,13936,16103,24798600,clien-12,Switch2,43.410952,43.410952,43.421075,0,328.491489,505876,1540,0.236498,0.000724,43.410952,43.442046,1,50.021057,Normal
2,24.2,17108,2,21,tcp,1540,3,537,16091,24780100,clien-2,Switch1,2.818778,2.818778,2.828901,0,328.26404,505526,1540,0.236321,0,2.818778,2.849147,1,50.018467,Normal
24.6,6,103422,21,6,ack,55,7,3214,16091,885005,Switch1,clien-6,10.971424,10.971424,10.981427,0,328.19309,18050.6,55,0.00844,0,10.951418,10.981427,1.030048,50.059112,Normal
24.8,8,198369,21,8,ack,55,9,6174,16088,884840,Switch1,clien-8,19.912843,19.912843,19.922846,0,328.113525,18046.2,55,0.008438,0,19.892837,19.922846,1.030054,50.061864,Normal
18.1,24.38,580833,23,24,cbr,1000,39,3232,6250,6250000,Router,server1,50.8768,50.87752,50.8876,0.00072,124.941028,124941,1000,0.059605,0.00136,50.856,50.8876,25,75.0236,Normal
2,24.2,229982,21,23,tcp,1540,3,7180,16091,24780100,Switch1,Router,22.875781,22.875781,22.885904,0,328.26404,505526,1540,0.236321,0,22.865658,22.896027,1,50.018467,Normal
12,24.12,17908,22,23,tcp,1540,13,569,16103,24798600,Switch2,Router,2.906774,2.906774,2.916898,0,328.491489,505876,1540,0.236498,0,2.896651,2.927021,1,50.021057,Normal
6,24.6,43069,21,23,tcp,1540,7,1348,16091,24780100,Switch1,Router,5.273637,5.273637,5.28376,0,328.192835,505416,1540,0.236321,0,5.263514,5.293883,1,50.029102,Normal
1,24.1,367049,21,23,tcp,1540,2,10763,16091,24780100,Switch1,Router,33.79378,33.79378,33.803903,0,328.297855,505578,1540,0.236321,0,33.783657,33.814026,1,50.013418,Normal
4,24.4,96831,4,21,tcp,1540,5,3024,16091,24780100,clien-4,Switch1,10.33204,10.33204,10.342163,0,328.217832,505455,1540,0.236321,0,10.33204,10.36241,1,50.025368,Normal
11,24.11,268897,22,23,tcp,1540,12,8292,16103,24798600,Switch2,Router,26.261406,26.261406,26.27153,0,328.522879,505925,1540,0.236498,0.0016,26.251283,26.283253,1,50.016373,Normal
10.1,24.3,342053,10,22,cbr,1000,31,858,6250,6250000,clien-10,Switch2,31.864,31.864,31.87408,0,124.944225,124944,1000,0.059605,0.000202,31.864,31.894442,25,75.02232,Normal
24.1,10,8326,23,22,ack,55,11,251,16103,885665,Router,Switch2,2.006203,2.006203,2.016206,0,328.561918,18070.9,55,0.008446,0,1.9962,2.02621,1.030013,50.040562,Normal
24.6,6,167748,23,21,ack,55,7,5228,16091,885005,Router,Switch1,17.01787,17.01787,17.027873,0,328.19309,18050.6,55,0.00844,0,17.007867,17.037876,1.030048,50.059112,Normal
9,24.9,354304,21,23,tcp,1540,10,10441,16085,24770900,Switch1,Router,32.814327,32.814327,32.82445,0,328.063862,505218,1540,0.236234,0.00013,32.804204,32.834703,1,50.030088,Normal
11,24.11,428223,23,24,tcp,1540,12,12314,16103,24798600,Router,server1,38.495053,38.49653,38.506653,0.001477,328.522879,505925,1540,0.236498,0.001477,38.474806,38.506653,1,50.016373,Normal
7,24.7,528057,21,23,tcp,1540,8,14821,16090,24778600,Switch1,Router,46.142154,46.142154,46.152277,0,328.167486,505378,1540,0.236307,0,46.13203,46.1624,1,50.029842,Normal
6,24.6,198012,6,21,tcp,1540,7,6176,16091,24780100,clien-6,Switch1,19.857786,19.857786,19.867909,0,328.192835,505416,1540,0.236321,0,19.857786,19.888155,1,50.029102,Normal
0,24,247832,0,21,tcp,1540,1,7735,16091,24780100,clien-0,Switch1,24.548658,24.548658,24.558781,0,328.316229,505606,1540,0.236321,0,24.548658,24.579027,1,50.010675,Normal
24.2,2,28980,24,23,ack,55,3,901,16091,885005,server1,Router,3.937082,3.937082,3.947085,0,328.26412,18054.5,55,0.00844,0,3.937082,3.967091,1.030022,50.048477,Normal
24.14,14,107873,22,14,ack,55,15,3357,16103,885665,Switch2,clien-14,11.389027,11.389027,11.39903,0,328.432001,18063.8,55,0.008446,0,11.369021,11.39903,1.030038,50.059974,Normal
24.9,9,412146,24,23,ack,55,10,11886,16085,884675,server1,Router,37.240631,37.240631,37.250634,0,328.064183,18043.5,55,0.008437,0,37.240631,37.270641,1.030058,50.060098,Normal
10,24.1,249977,10,22,tcp,1540,11,7804,16103,24798600,clien-10,Switch2,24.748131,24.748131,24.758254,0,328.561898,505985,1540,0.236498,0,24.748131,24.778501,1,50.010552,Normal
26,25.1,13287,26,25,tcp,576,1,691977,5628,3241120,webserverlistin,webcache,13.378192,13.492656,13.531872,0.114464,658.090443,378989.001,575.891969,0.03091,0.15368,13.378192,13.531872,1.447776,9.999792,Normal
16.1,24.36,582234,22,23,cbr,1000,37,3302,6250,6250000,Switch2,Router,51.42608,51.42656,51.43664,0.00048,124.941827,124942,1000,0.059605,0.00104,51.416,51.44728,25,75.02328,Normal
24.11,11,158596,24,23,ack,55,12,4948,16103,885665,server1,Router,16.147974,16.147974,16.157978,0,328.522947,18068.8,55,0.008446,0,16.147974,16.177984,1.030019,50.046382,Normal
24,0,41983,24,23,ack,55,1,1304,16091,885005,server1,Router,5.164378,5.164378,5.174381,0,328.316229,18057.4,55,0.00844,0,5.164378,5.194387,1.03001,50.040685,Normal
3,24.3,560390,23,24,tcp,1540,4,15633,16091,24780100,Router,server1,48.632491,48.632491,48.642615,0,328.240918,505490,1540,0.236321,0,48.612245,48.642615,1,50.02192,Normal
2.1,24.22,262486,23,24,cbr,1000,23,95,6250,6250000,Router,server1,25.780341,25.780624,25.790704,0.000283,124.943625,124944,1000,0.059605,0.000464,25.76,25.790704,25,75.02256,Normal
2,24.2,542104,21,23,tcp,1540,3,15176,16091,24780100,Switch1,Router,47.220363,47.220363,47.230486,0,328.26404,505526,1540,0.236321,0.000265,47.21024,47.240874,1,50.018467,Normal
24.4,4,46574,21,4,ack,55,5,1448,16091,885005,Switch1,clien-4,5.613814,5.613814,5.623818,0,328.218006,18052,55,0.00844,0,5.593808,5.623818,1.030035,50.055377,Normal
24.8,8,129743,21,8,ack,55,9,4036,16088,884840,Switch1,clien-8,13.452518,13.452518,13.462522,0,328.113525,18046.2,55,0.008438,0,13.432512,13.462522,1.030054,50.061864,Normal
0,24,289990,23,24,tcp,1540,1,8823,16091,24780100,Router,server1,27.892122,27.892122,27.902245,0,328.316229,505606,1540,0.236321,0,27.871875,27.902245,1,50.010675,Normal
24.15,15,141370,22,15,ack,55,16,4407,16092,885060,Switch2,clien-15,14.546532,14.546532,14.556536,0,328.206042,18051.3,55,0.008441,0,14.526526,14.556536,1.030045,50.060221,Normal
24.2,2,484518,24,23,ack,55,3,13713,16091,885005,server1,Router,42.79404,42.79404,42.804043,0,328.26412,18054.5,55,0.00844,0,42.79404,42.82405,1.030022,50.048477,Normal
0,24,46498,23,24,tcp,1540,1,1453,16091,24780100,Router,server1,5.609198,5.609198,5.619322,0,328.316229,505606,1540,0.236321,0,5.588952,5.619322,1,50.010675,Normal
24.12,12,516018,23,22,ack,55,13,14514,16103,885665,Router,Switch2,45.218688,45.218688,45.228691,0,328.491596,18067,55,0.008446,0,45.208685,45.238694,1.030026,50.051067,Normal
9,24.9,362241,23,24,tcp,1540,10,10637,16085,24770900,Router,server1,33.43484,33.43484,33.444963,0,328.063862,505218,1540,0.236234,0,33.414594,33.444963,1,50.030088,Normal
24.9,9,560305,21,9,ack,55,10,15618,16085,884675,Switch1,clien-9,48.625899,48.625899,48.635902,0,328.064183,18043.5,55,0.008437,0,48.605893,48.635902,1.030058,50.060098,Normal
19.1,24.39,638726,19,22,cbr,1000,40,6107,6250,6250000,clien-19,Switch2,73.856,73.856,73.86608,0,124.940628,124941,1000,0.059605,0.00152,73.856,73.88776,25,75.02376,Normal
10,24.1,451946,23,24,tcp,1540,11,12912,16103,24798600,Router,server1,40.316101,40.316101,40.326224,0,328.561898,505985,1540,0.236498,0,40.295855,40.326224,1,50.010552,Normal
7,24.7,275145,23,24,tcp,1540,8,8449,16090,24778600,Router,server1,26.751605,26.751605,26.761728,0,328.167486,505378,1540,0.236307,0,26.731358,26.761728,1,50.029842,Normal
11,24.11,225444,22,23,tcp,1540,12,7040,16103,24798600,Switch2,Router,22.450293,22.450293,22.460416,0,328.522879,505925,1540,0.236498,0,22.44017,22.470539,1,50.016373,Normal
4,24.4,350854,23,24,tcp,1540,5,10362,16091,24780100,Router,server1,32.559295,32.559295,32.569418,0,328.217832,505455,1540,0.236321,0,32.539049,32.569418,1,50.025368,Normal
24.7,7,356970,21,7,ack,55,8,10494,16090,884950,Switch1,clien-7,33.028029,33.028029,33.038032,0,328.167767,18049.2,55,0.00844,0,33.008022,33.038032,1.030051,50.059851,Normal
9.2,24.51,65518,21,23,cbr,692,30,2513,9108,6302740,switch1,router,62.158084,62.16077,62.170825,0.002686,1016.496869,703416,692,0.060108,0.036756,62.147429,62.184185,1,9.960185,UDP-Flood
16.1,24.36,640014,16,22,cbr,1000,37,6171,6250,6250000,clien-16,Switch2,74.368,74.368,74.37808,0,124.941827,124942,1000,0.059605,0.00104,74.368,74.39928,25,75.02328,Normal
0.2,24.42,60747,0,21,cbr,1500,21,2332,9108,13662000,client-0,switch1,57.758857,57.759337,57.769457,0.00048,1016.54917,1524820,1500,0.130291,0.03516,57.758857,57.794017,1,9.959724,UDP-Flood
1,24.1,21177,23,24,tcp,1540,2,669,16091,24780100,Router,server1,3.2252,3.2252,3.235323,0,328.297855,505578,1540,0.236321,0,3.204954,3.235323,1,50.013418,Normal
14,24.14,321776,14,22,tcp,1540,15,9630,16103,24798600,clien-14,Switch2,30.308044,30.308044,30.318167,0,328.431807,505785,1540,0.236498,0,30.308044,30.338413,1,50.029965,Normal
24.13,13,447135,22,13,ack,55,14,12781,16103,885665,Switch2,clien-13,39.94541,39.94541,39.955413,0,328.460278,18065.3,55,0.008446,0,39.925403,39.955413,1.030032,50.055747,Normal
10,24.1,419188,23,24,tcp,1540,11,12090,16103,24798600,Router,server1,37.803069,37.803069,37.813192,0,328.561898,505985,1540,0.236498,0,37.782823,37.813192,1,50.010552,Normal
24.3,3,402460,23,21,ack,55,4,11645,16091,885005,Router,Switch1,36.50773,36.50773,36.517733,0,328.241051,18053.3,55,0.00844,0,36.497727,36.527737,1.030029,50.051929,Normal
0,24,335291,21,23,tcp,1540,1,9963,16091,24780100,Switch1,Router,31.354305,31.355003,31.365126,0.000698,328.316229,505606,1540,0.236321,0.001723,31.344181,31.376274,1,50.010675,Normal
12.1,24.32,264481,12,22,cbr,1000,33,114,6250,6250000,clien-12,Switch2,25.912,25.912,25.92208,0,124.943426,124943,1000,0.059605,0.000478,25.912,25.942718,25,75.02264,Normal
4.1,24.24,562731,4,21,cbr,1000,25,2974,6250,6250000,clien-4,Switch1,48.792,48.792,48.80208,0,124.942826,124943,1000,0.059605,0.000751,48.792,48.822991,25,75.02288,Normal
0,24,513894,21,23,tcp,1540,1,14468,16091,24780100,Switch1,Router,45.057459,45.057459,45.067582,0,328.316229,505606,1540,0.236321,0,45.047336,45.077706,1,50.010675,Normal
1,24.1,270540,21,23,tcp,1540,2,8342,16091,24780100,Switch1,Router,26.387706,26.387706,26.397829,0,328.297855,505578,1540,0.236321,0.0016,26.377582,26.409552,1,50.013418,Normal
24.1,10,328577,24,23,ack,55,11,9791,16103,885665,server1,Router,30.829891,30.829891,30.839894,0,328.561918,18070.9,55,0.008446,0,30.829891,30.859901,1.030013,50.040562,Normal
7.1,24.27,442781,7,21,cbr,1000,28,1824,6250,6250000,clien-7,Switch1,39.592,39.592,39.60208,0,124.941627,124942,1000,0.059605,0.001157,39.592,39.623397,25,75.02336,Normal
13,24.13,66652,23,24,tcp,1540,14,2086,16103,24798600,Router,server1,7.507811,7.507811,7.517934,0,328.460131,505828,1540,0.236498,0,7.487565,7.517934,1,50.025737,Normal
8.1,24.28,610214,8,21,cbr,1000,29,4692,6250,6250000,clien-8,Switch1,62.536,62.536,62.54608,0,124.941228,124941,1000,0.059605,0.00128,62.536,62.56752,25,75.02352,Normal
24.6,6,141911,24,23,ack,55,7,4422,16091,885005,server1,Router,14.575973,14.575973,14.585977,0,328.19309,18050.6,55,0.00844,0,14.575973,14.605983,1.030048,50.059112,Normal
19.1,24.39,575681,22,23,cbr,1000,40,3098,6250,6250000,Switch2,Router,49.79408,49.7948,49.80488,0.00072,124.940628,124941,1000,0.059605,0.001547,49.784,49.815787,25,75.02376,Normal
5,24.5,93462,5,21,tcp,1540,6,2916,16091,24780100,clien-5,Switch1,10.013019,10.013019,10.023142,0,328.204637,505434,1540,0.236321,0,10.013019,10.043389,1,50.027339,UDP-Flood
12,24.12,307865,23,24,tcp,1540,13,9276,16103,24798600,Router,server1,29.261373,29.262684,29.272807,0.001311,328.491489,505876,1540,0.236498,0.001742,29.240696,29.272807,1,50.021057,Normal
18.1,24.38,630662,18,22,cbr,1000,39,5707,6250,6250000,clien-18,Switch2,70.656,70.656,70.66608,0,124.941028,124941,1000,0.059605,0.00136,70.656,70.6876,25,75.0236,Normal
24.2,2,120627,21,2,ack,55,3,3759,16091,885005,Switch1,clien-2,12.590944,12.590944,12.600947,0,328.26412,18054.5,55,0.00844,0,12.570938,12.600947,1.030022,50.048477,Normal
13.2,24.55,60341,23,24,cbr,692,34,2315,9108,6302740,router,server1,57.343831,57.347172,57.357228,0.003341,1016.443439,703379,692,0.060108,0.037228,57.32,57.357228,1,9.960656,UDP-Flood
24.1,1,179838,23,21,ack,55,2,5606,16091,885005,Router,Switch1,18.158912,18.158912,18.168915,0,328.297902,18056.4,55,0.00844,0,18.148908,18.178918,1.030016,50.043427,Normal
10,24.1,105461,10,22,tcp,1540,11,3298,16103,24798600,clien-10,Switch2,11.14544,11.14544,11.155563,0,328.561898,505985,1540,0.236498,0,11.14544,11.17581,1,50.010552,Normal
4.1,24.24,630203,23,24,cbr,1000,25,5685,6250,6250000,Router,server1,70.50048,70.5008,70.51088,0.00032,124.942826,124943,1000,0.059605,0.00064,70.48,70.51088,25,75.02288,Normal
10,24.1,342539,10,22,tcp,1540,11,10159,16103,24798600,clien-10,Switch2,31.902007,31.902007,31.91213,0,328.561898,505985,1540,0.236498,0,31.902007,31.932377,1,50.010552,Normal
24.12,12,255370,24,23,ack,55,13,7944,16103,885665,server1,Router,25.213094,25.213094,25.223098,0,328.491596,18067,55,0.008446,0,25.213094,25.243104,1.030026,50.051067,Normal
24.14,14,438794,23,22,ack,55,15,12568,16103,885665,Router,Switch2,39.295903,39.295903,39.305906,0,328.432001,18063.8,55,0.008446,0,39.285899,39.315909,1.030038,50.059974,Normal
24.1,1,378586,21,1,ack,55,2,11046,16091,885005,Switch1,clien-1,34.687418,34.687418,34.697421,0,328.297902,18056.4,55,0.00844,0,34.667411,34.697421,1.030016,50.043427,Normal
24.1,1,405099,21,1,ack,55,2,11719,16091,885005,Switch1,clien-1,36.721022,36.721022,36.731026,0,328.297902,18056.4,55,0.00844,0,36.701016,36.731026,1.030016,50.043427,Normal
7.1,24.27,415770,21,23,cbr,1000,28,1565,6250,6250000,Switch1,Router,37.53008,37.530587,37.540667,0.000507,124.941627,124942,1000,0.059605,0.00111,37.52,37.55135,25,75.02336,Normal
8,24.8,533992,23,24,tcp,1540,9,14964,16088,24775500,Router,server1,46.608134,46.608674,46.618797,0.00054,328.11323,505294,1540,0.236278,0.00054,46.587888,46.618797,1,50.031854,Normal
7,24.7,107608,7,21,tcp,1540,8,3351,16090,24778600,clien-7,Switch1,11.345674,11.345674,11.355797,0,328.167486,505378,1540,0.236307,0,11.345674,11.376043,1,50.029842,Normal
24.1,1,324897,21,1,ack,55,2,9694,16091,885005,Switch1,clien-1,30.566404,30.566404,30.576407,0,328.297902,18056.4,55,0.00844,0,30.546397,30.576407,1.030016,50.043427,Normal
5,24.5,279819,21,23,tcp,1540,6,8563,16091,24780100,Switch1,Router,27.099043,27.099843,27.109966,0.0008,328.204637,505434,1540,0.236321,0.0016,27.08892,27.12089,1,50.027339,Normal
11.2,24.53,31249,22,23,cbr,1500,32,1197,9108,13662000,switch2,router,30.121337,30.123137,30.133257,0.0018,1016.449678,1524670,1500,0.130291,0.03858,30.110857,30.149437,1,9.960601,UDP-Flood
9.2,24.51,45023,23,24,cbr,1500,30,1725,9108,13662000,router,server1,43.00652,43.0088,43.01892,0.00228,1016.496869,1524750,1500,0.130291,0.03492,42.984,43.01892,1,9.960185,UDP-Flood
7,24.7,281968,7,21,tcp,1540,8,8615,16090,24778600,clien-7,Switch1,27.254784,27.254784,27.264907,0,328.167486,505378,1540,0.236307,0,27.254784,27.285154,1,50.029842,Normal
13,24.13,513338,13,22,tcp,1540,14,14462,16103,24798600,clien-13,Switch2,45.003181,45.003181,45.013304,0,328.460131,505828,1540,0.236498,0.001587,45.003181,45.035138,1,50.025737,Normal
8.2,24.5,75878,23,24,cbr,1500,29,2913,9108,13662000,router,server1,71.970971,71.973131,71.983251,0.00216,1016.516723,1524780,1500,0.130291,0.03468,71.948571,71.983251,1,9.96001,UDP-Flood
24.5,5,38687,24,23,ack,55,6,1200,16091,885005,server1,Router,4.851517,4.851517,4.86152,0,328.204851,18051.3,55,0.00844,0,4.851517,4.881526,1.030042,50.057349,Normal
13,24.13,311901,13,22,tcp,1540,14,9381,16103,24798600,clien-13,Switch2,29.551845,29.551845,29.561969,0,328.460131,505828,1540,0.236498,0,29.551845,29.582215,1,50.025737,Normal
24.9,9,354178,23,21,ack,55,10,10424,16085,884675,Router,Switch1,32.803901,32.803901,32.813905,0,328.064183,18043.5,55,0.008437,0,32.793898,32.823908,1.030058,50.060098,Normal
6.1,24.26,587087,21,23,cbr,1000,27,3544,6250,6250000,Switch1,Router,53.36208,53.36256,53.37264,0.00048,124.942027,124942,1000,0.059605,0.00096,53.352,53.3832,25,75.0232,Normal
24.4,4,24753,23,21,ack,55,5,767,16091,885005,Router,Switch1,3.550426,3.550426,3.560429,0,328.218006,18052,55,0.00844,0,3.540422,3.570432,1.030035,50.055377,Normal
